"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"","2024-07-02 20:33:51","","","","2024-07-02 20:33:52","","","","",""
"v-GflVJNVaJTsgdTmPjAn1e_KHMDqFJP_zJGSDhjRRWIphBSMpScCCdbo6vV3ya3","2024-07-02 21:31:12","2024-07-02 21:31:38","2024-07-02 21:31:38","","2024-07-02 21:31:12","1, 2","2, 3","Yes","test-Zain","6"
"UNyVVgPk9hzgAMBkOSKosohdjvETJxiDdPQP0-7jCxMjClskz5Ai1nypEirNYVs0","2024-07-03 02:23:00","2024-07-03 02:23:51","2024-07-03 02:23:52","","2024-07-03 02:23:00","1","2","No","","6"
"WIhzbeA2dcLaNxilI_BfP7aJToqbuPDE17IuC1QIxCnLbEKbkxz5yPLnCnY_5zuw","2024-07-03 03:06:33","2024-07-03 03:07:31","2024-07-03 03:07:32","","2024-07-03 03:06:33","1, 2","2, 3","No","","6"
"iJjBHEF192Vwj6HCX-ukPHT5AsyZNPPi6aCZzxHTMbId2EzLXWBfd9ZKobLBpnIr","2024-07-03 04:01:56","2024-07-03 04:04:22","2024-07-03 04:04:22","","2024-07-03 04:01:57","1, 2","1, 2, 3","Yes","Tesla","6"
"SxouIZ21KzDjB-vT0NwkMnx8uE0g8JOfwFNk5MkkF76yLzIyksu5wNdJAdcpXmzz","2024-07-03 04:24:54","2024-07-03 04:26:08","2024-07-03 04:26:08","","2024-07-03 04:24:54","1","2, 3","Yes","Tesla","6"
"aAbXjPq3lK3XR_96A1le85XHhjorI8izotGZaL48Js69IXXhQkmnv0qh54D1TNoa","2024-07-03 04:31:00","2024-07-03 04:31:53","2024-07-03 04:31:54","","2024-07-03 04:31:01","1, 2","2, 3","Yes","Tesla","6"
"vXSC2hwF0dYuqnhXJ954PCKcEo4g-9Fq7rA3BxfhMSozp1qoOtlVyBcVUbGZQOMe","2024-07-03 04:40:33","2024-07-03 04:41:42","2024-07-03 04:41:42","","2024-07-03 04:40:33","1, 2","2, 3","Yes","Tesla","6"
"L_IxZ_AYu_rKX1BV-GzBtqCMKYIQ2RXdXIv-6Rhus8Rm__4YbYAS0fgXfMBSQlFt","2024-07-03 05:02:23","2024-07-03 05:03:15","2024-07-03 05:03:15","","2024-07-03 05:02:23","1, 2","2, 3","Yes","Chevrolet Bolt EV","4"
"NhU77XRpWGusG4TzXqOxBt2Q0VByghFiZKFx4s-mE9EouTQoKa98Nb950i9v2g3_","2024-07-03 05:30:14","2024-07-03 05:30:55","2024-07-03 05:30:55","","2024-07-03 05:30:14","1, 2","2, 3","No","","6"
