"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"","2024-07-06 20:55:19","","","","2024-07-06 20:55:19","","","","",""
"cLlw7sG8ORhZJzenuOuQ61nf0HInXz94RiAHWdGaepyozlssIUCqoqs1RQEOXLqX","2024-07-06 21:11:30","2024-07-06 21:11:43","2024-07-06 21:11:43","","2024-07-06 21:11:30","2","4","No","","6"
"UdAlHL6rny86elHC9mXDjWRYcuBpJ2xcOU-VyERWkK63gcLIEnJYcAHkQk4M6ovb","2024-07-06 22:18:17","2024-07-06 22:19:05","2024-07-06 22:19:05","","2024-07-06 22:18:17","1, 2","2, 3","Yes","Leaf","6"
"GPrEZ2h68P7Vxw04Azlm7ioR8ksLDA4ESYglnYdzEaUDnhGdo6Gd47biR2TvKNzd","2024-07-08 07:25:42","2024-07-08 07:26:18","2024-07-08 07:26:19","","2024-07-08 07:25:42","1, 2","2, 3","Yes","Lucid","4"
"UdKo8PhyfV8ld8gg8YgmawcOZFbbLr2YF4hEqRd25P-6LR14hVdgAG_OTz7C2OZZ","2024-07-08 13:17:08","2024-07-08 13:18:08","2024-07-08 13:18:08","","2024-07-08 13:17:08","1, 2","2, 3","Yes","Tesla","6"
