"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"FWdLKcwiu5OlH_-Fk6xdNrLPsihA_W3idFDp6uBhVZOidVg8Dl0ZwYD5msr5YsZ8","2024-05-12 15:40:17","2024-05-12 15:40:57","2024-05-12 15:40:57","","2024-05-12 15:40:17","1, 2","2, 3","Yes","Fisker","6"
"hSVP90QZAppjNyRuyKlCtPBA7ChcHuxpXw0Zq13EBYxMX_rFTqm0-1m-Io0JORdM","2024-05-12 20:36:48","2024-05-12 20:38:03","2024-05-12 20:38:03","","2024-05-12 20:36:48","1, 2","2, 3","Yes","Tesla ","6"
"coDBxQuNLvnAuPo6CGFgXkgDuUMtnvGUgBBX2evw8lE74BKl5dK2e6fP6NdCAZpg","2024-05-13 00:54:08","2024-05-13 00:55:12","2024-05-13 00:55:14","","2024-05-13 00:54:10","1","2, 3","No","","6"
"XBhsmywPQtqmqNKP59F7iajGPb3kvCO9ome6AlF8l8Q531K3iTe5brn4gqfw8olf","2024-05-13 01:04:41","2024-05-13 01:05:34","2024-05-13 01:05:34","","2024-05-13 01:04:41","1, 2","2, 3","Yes","Tesla","4"
"qOjGXsodBPyY2mx5IgZXeqYH1xDn395CN4ZgIovJ6Wvbx4NVkS4KonHOrZUIkrL0","2024-05-13 01:40:11","2024-05-13 01:40:49","2024-05-13 01:40:49","","2024-05-13 01:40:11","1, 2","2, 3","Yes","Polestar","4"
"K-_kRAFX6TM3BnbdzQ3dv1jYjWC_8zQMHumUad50Gqah7FMdD4q7qhGXJ2eab87U","2024-05-13 04:38:03","2024-05-13 04:38:51","2024-05-13 04:38:52","","2024-05-13 04:38:04","1, 2","2, 3","Yes","Tesla ","6"
"jcX0AzrUTVGsLh1N5xortx4NYqVnLMT2b3ucStcNYkg98Dj8L4GUSeFw4IgpY_9M","2024-05-13 05:05:52","2024-05-13 05:07:08","2024-05-13 05:07:08","","2024-05-13 05:05:52","1, 2","1, 2, 3","Yes","Tesla","6"
"Cfx2wnPcVuMqcn2mWV1ql94tFy6cXTf5sTpP-3PriBb_hj0fvXQfc_kgCQ2mYtrS","2024-05-13 06:49:18","2024-05-13 06:50:28","2024-05-13 06:50:28","","2024-05-13 06:49:18","1, 2","1, 2, 3","Yes","Tesla","2"
"ds9DvhC_J9R4789iCh-rnrN09KGtGppdWacf_fSOCKhS6WTg2pzEX9YtEtoy2XuY","2024-05-13 12:16:20","2024-05-13 12:16:56","2024-05-13 12:16:56","","2024-05-13 12:16:20","1, 2","2, 3","Yes","ARIYA","4"
"cVpXleWbzUu9taUSpUF_blZ-xmp0CKtHIsb7o_nb74_Uhfvgm_dyDqC2jw1QXs2c","2024-05-13 13:20:09","2024-05-13 13:20:57","2024-05-13 13:20:57","","2024-05-13 13:20:09","1, 2","2, 3","Yes","Chevy Bolt","4"
"rgE4ZMFloo7utK7FE3tAua1oRguRgi0aiRfMCXtuTaQeZ3Pzfn7cF5IgYLaM-Up5","2024-05-13 13:21:36","2024-05-13 13:22:25","2024-05-13 13:22:25","","2024-05-13 13:21:37","1, 2","2, 3","Yes","Tesa","6"
"cYzuKW5Xr6YXYRvDWArfOruN2vj5v5sehQYUkzLpG3Tb9MdWY9PHhS6m9ynvmDHC","2024-05-13 14:46:13","2024-05-13 14:46:51","2024-05-13 14:46:52","","2024-05-13 14:46:13","1, 2","2, 3","Yes","Tesla","6"
"126iWxq7LO3rA1kVFGtMOl8N_d98lzdfwZ4fmJMebRqAx9ZZGT7y9wvW9BRejMF3","2024-05-13 15:46:59","2024-05-13 15:48:05","2024-05-13 15:48:05","","2024-05-13 15:46:59","1","2, 3","Yes","Tesla","6"
"eKIBNgIrFBGmh5op3mFB3jBL9Rqoev7VUD_P1YQD-lBC1DTjlw3YPnkScKHB7uSo","2024-05-13 16:48:31","2024-05-13 16:49:14","2024-05-13 16:49:14","","2024-05-13 16:48:31","1","1, 2, 3","Yes","Tesla","6"
"bBEjJl8AGV2o-xlbX88y05AnmCbZNJdZyU7P2N56hYEIDilh2qIVOvGonurwxn9a","2024-05-14 01:39:50","2024-05-14 01:40:56","2024-05-14 01:40:56","","2024-05-14 01:39:50","1, 2","2, 3","Yes","Tesla, Rivian, ","4"
