"session","created","modified","ended","expired","time12","run_on_gas","plugged_in","electric_vehicle_Y_N","name_electric_vehicle","max_subsidy"
"","2024-05-07 17:44:48","2024-05-07 17:46:21","2024-05-07 17:46:21","","2024-05-07 17:44:49","1, 2, 3, 4","1, 2, 3, 4","Yes","thank the formr monkey","1"
"McC2e384kmfybZ_4BNVDBjmaAYbByvHpFRfQQCGOWyNQBPfsN_J9aQv3twOwgiTx","2024-05-10 23:43:15","2024-05-10 23:43:54","2024-05-10 23:43:54","","2024-05-10 23:43:15","1","2, 3","No","","6"
"IXVynoLBMIs6S4dEqZ6rpcqQyhKMxE8lXhdJ5uwlnjIBKNbCVsx1ycZP9WzmOIuD","2024-05-11 02:58:35","2024-05-11 02:59:17","2024-05-11 02:59:17","","2024-05-11 02:58:36","1","2, 3","Yes","Tesla","6"
"G-N_3JKguHddbCYCesBgYEGCI25cLpIFANiUeXe-jm57QUO_sFNKVsxpXMesSDvk","2024-05-11 15:23:54","2024-05-11 15:25:34","2024-05-11 15:25:34","","2024-05-11 15:23:54","1, 2","2, 3","Yes","Rivian","4"
"df5o4sjBiFnavplB5jzUTp20lkRLmTUbiQ8dcvOp8u17zNMp6ywUurQaQ7_3dFE7","2024-05-12 01:30:23","2024-05-12 01:32:12","2024-05-12 01:32:12","","2024-05-12 01:30:23","1, 2","2, 3","Yes","Tesla","6"
"bMqt1a-FfKsTsH2EtemdlxXcn0nmZO4ukqjsfiXd0AnlQPGMAC7GETYbqhM4LnpN","2024-05-12 02:03:21","2024-05-12 02:04:07","2024-05-12 02:04:07","","2024-05-12 02:03:22","1, 2","2, 3","Yes","Tesla","6"
"WAhmZo6w9q7eIrZEquGUS1Sd53n-QF7GQE5TI9dsx2wCiXs1RIvVt5xJYj__moRC","2024-05-12 05:42:42","2024-05-12 05:43:11","2024-05-12 05:43:12","","2024-05-12 05:42:42","1, 2","2, 3","No","","6"
"zLq-2KGLl0TgiyosfTj-SEVsoRh4PZTc_t61xq9LEpgwbXuDheyaznaSQSXqtlwi","2024-05-12 05:45:41","2024-05-12 05:46:45","2024-05-12 05:46:45","","2024-05-12 05:45:41","1","1, 3","Yes","Rivian","4"
"ryT2Jlbaz_92S_2PzOb03931_nzJrJaBzMzsLwMFnNlSU5MtpNOMkp1TxRQOldAr","2024-05-12 10:01:37","2024-05-12 10:02:01","2024-05-12 10:02:02","","2024-05-12 10:01:37","1, 2","2, 3","Yes","Bolt","4"
"fn0zs6WFE0peTCeY3a6h2PfoiGnk6cokmX-Dffw_DMVRQsT2RGETBQ42m73GtmnS","2024-05-12 12:16:13","2024-05-12 12:16:52","2024-05-12 12:16:52","","2024-05-12 12:16:13","1","2, 3","Yes","Tesla","6"
