,zip,geoid,res_ratio,bus_ratio,oth_ratio,tot_ratio,city,state
9651,58476,27420,1.0,1.0,1.0,1.0,PINGREE,ND
9652,58477,13900,1.0,1.0,1.0,1.0,REGAN,ND
9653,58478,99999,1.0,0.0,1.0,1.0,ROBINSON,ND
9654,58479,99999,1.0,1.0,1.0,1.0,ROGERS,ND
9655,58480,99999,1.0,1.0,1.0,1.0,SANBORN,ND
9656,58482,99999,1.0,1.0,1.0,1.0,STEELE,ND
9657,58484,99999,1.0,1.0,1.0,1.0,SUTTON,ND
9658,58487,99999,1.0,1.0,1.0,1.0,TAPPEN,ND
9659,58488,99999,1.0,1.0,1.0,1.0,TUTTLE,ND
9660,58490,99999,1.0,1.0,1.0,1.0,VERONA,ND
9661,58494,13900,1.0,1.0,1.0,1.0,WING,ND
9662,58495,99999,1.0,1.0,1.0,1.0,WISHEK,ND
9663,58501,13900,1.0,1.0,1.0,1.0,BISMARCK,ND
9664,58502,13900,1.0,1.0,1.0,1.0,BISMARCK,ND
9665,58503,13900,1.0,1.0,1.0,1.0,BISMARCK,ND
9666,58505,13900,0.0,1.0,1.0,1.0,BISMARCK,ND
9667,58506,13900,1.0,1.0,1.0,1.0,BISMARCK,ND
9668,58507,13900,1.0,1.0,1.0,1.0,BISMARCK,ND
9669,58521,13900,1.0,1.0,1.0,1.0,BALDWIN,ND
9670,58528,99999,1.0,1.0,1.0,1.0,CANNON BALL,ND
9671,58529,99999,1.0,1.0,1.0,1.0,CARSON,ND
9672,58531,99999,1.0,1.0,1.0,1.0,COLEHARBOR,ND
9673,58533,99999,1.0,1.0,1.0,1.0,ELGIN,ND
9674,58538,99999,1.0,1.0,1.0,1.0,FORT YATES,ND
9675,58540,99999,1.0,1.0,1.0,1.0,GARRISON,ND
9676,58541,99999,1.0,1.0,1.0,1.0,GOLDEN VALLEY,ND
9677,58542,99999,1.0,1.0,1.0,1.0,HAGUE,ND
9678,58544,99999,1.0,1.0,1.0,1.0,HAZELTON,ND
9679,58549,99999,1.0,1.0,1.0,1.0,KINTYRE,ND
9680,58552,99999,1.0,1.0,1.0,1.0,LINTON,ND
9681,58554,13900,1.0,1.0,1.0,1.0,MANDAN,ND
9682,58558,13900,1.0,1.0,1.0,1.0,MENOKEN,ND
9683,58559,99999,1.0,1.0,1.0,1.0,MERCER,ND
9684,58561,99999,1.0,1.0,1.0,1.0,NAPOLEON,ND
9685,58562,99999,1.0,1.0,1.0,1.0,NEW LEIPZIG,ND
9686,58564,99999,1.0,1.0,0.0,1.0,RALEIGH,ND
9687,58565,99999,1.0,1.0,1.0,1.0,RIVERDALE,ND
9688,58566,13900,1.0,1.0,0.0,1.0,SAINT ANTHONY,ND
9689,58568,99999,1.0,1.0,1.0,1.0,SELFRIDGE,ND
9690,58572,13900,1.0,1.0,1.0,1.0,STERLING,ND
9691,58573,99999,1.0,1.0,1.0,1.0,STRASBURG,ND
9692,58575,99999,1.0,1.0,1.0,1.0,TURTLE LAKE,ND
9693,58576,99999,1.0,1.0,1.0,1.0,UNDERWOOD,ND
9694,58577,99999,1.0,1.0,1.0,1.0,WASHBURN,ND
9695,58580,99999,1.0,1.0,1.0,1.0,ZAP,ND
9696,58581,99999,1.0,1.0,1.0,1.0,ZEELAND,ND
9697,58602,19860,1.0,1.0,1.0,1.0,DICKINSON,ND
9698,58621,99999,1.0,1.0,1.0,1.0,BEACH,ND
9699,58623,99999,1.0,1.0,1.0,1.0,BOWMAN,ND
9700,58625,99999,1.0,1.0,1.0,1.0,DODGE,ND
9701,58626,99999,1.0,1.0,1.0,1.0,DUNN CENTER,ND
9702,58627,19860,1.0,1.0,1.0,1.0,FAIRFIELD,ND
9703,58632,99999,1.0,0.0,1.0,1.0,GOLVA,ND
9704,58636,99999,1.0,1.0,1.0,1.0,HALLIDAY,ND
9705,58639,99999,1.0,1.0,1.0,1.0,HETTINGER,ND
9706,58641,19860,1.0,1.0,1.0,1.0,LEFOR,ND
9707,58643,99999,1.0,1.0,1.0,1.0,MARMARTH,ND
9708,58644,99999,1.0,1.0,1.0,1.0,MARSHALL,ND
9709,58649,99999,1.0,1.0,1.0,1.0,REEDER,ND
9710,58650,99999,1.0,1.0,1.0,1.0,REGENT,ND
9711,58651,99999,1.0,1.0,1.0,1.0,RHAME,ND
9712,58653,99999,1.0,1.0,1.0,1.0,SCRANTON,ND
9713,58654,99999,1.0,1.0,1.0,1.0,SENTINEL BUTTE,ND
9714,58655,19860,1.0,1.0,1.0,1.0,SOUTH HEART,ND
9715,58701,33500,1.0,1.0,1.0,1.0,MINOT,ND
9716,58702,33500,1.0,1.0,1.0,1.0,MINOT,ND
9717,58703,33500,1.0,1.0,1.0,1.0,MINOT,ND
9718,58704,33500,1.0,1.0,1.0,1.0,MINOT AFB,ND
9719,58705,33500,1.0,1.0,1.0,1.0,MINOT AFB,ND
9720,58707,33500,0.0,1.0,1.0,1.0,MINOT,ND
